(x) (t) (teta) (y)
50 17 -13.7743 70.3981
50 17.1 -13.8976 70.1532
50 17.2 -14.0208 69.9203
50 17.3 -14.1441 69.701
50 17.4 -14.2673 69.4962
50 17.5 -14.3906 69.307
50 17.6 -14.5138 69.1339
50 17.7 -14.6371 68.9774
50 17.8 -14.7603 68.8375
50 17.9 -14.8836 68.7142
50 18 -15.0068 68.6072
50 18.1 -15.1301 68.5166
50 18.2 -15.2533 68.4423
50 18.3 -15.3766 68.385
50 18.4 -15.4998 68.345
50 18.5 -15.6231 68.3231
50 18.6 -15.7463 68.3196
50 18.7 -15.8696 68.3346
50 18.8 -15.9928 68.3678
50 18.9 -16.1161 68.4187
50 19 -16.2393 68.4866
50 19.1 -16.3626 68.5711
50 19.2 -16.4858 68.6719
50 19.3 -16.6091 68.789
50 19.4 -16.7323 68.9226
50 19.5 -16.8556 69.0728
50 19.6 -16.9788 69.2397
50 19.7 -17.1021 69.4229
50 19.8 -17.2253 69.6219
50 19.9 -17.3486 69.8358
50 20 -17.4718 70.0637
50 20.1 -17.5951 70.3043
50 20.2 -17.7183 70.5558
50 20.3 -17.8416 70.8154
50 20.4 -17.9648 71.0788
50 20.5 -18.0881 71.34
50 20.6 -18.2113 71.5906
50 20.7 -18.3346 71.8204
50 20.8 -18.4578 72.0184
50 20.9 -18.5811 72.1732
50 21 -18.7043 72.2753
50 21.1 -18.8276 72.3177
50 21.2 -18.9508 72.2975
50 21.3 -19.0741 72.2161
50 21.4 -19.1973 72.0792
50 21.5 -19.3206 71.8954
50 21.6 -19.4438 71.6756
50 21.7 -19.5671 71.4311
50 21.8 -19.6903 71.1727
50 21.9 -19.8136 70.9092
50 22 -19.9368 70.6477
50 22.1 -20.0601 70.3929
50 22.2 -20.1833 70.1482
50 22.3 -20.3066 69.9156
50 22.4 -20.4298 69.6966
50 22.5 -20.5531 69.4922
50 22.6 -20.6763 69.3032
50 22.7001 -20.7996 69.1305
50 22.8001 -20.9228 68.9743
50 22.9001 -21.0461 68.8348
50 23.0001 -21.1693 68.7118
50 23.1001 -21.2926 68.6052
50 23.2001 -21.4158 68.5149
50 23.3001 -21.5391 68.441
50 23.4001 -21.6623 68.3839
50 23.5001 -21.7856 68.3444
50 23.6001 -21.9088 68.3228
50 23.7001 -22.0321 68.3197
50 23.8001 -22.1553 68.3351
50 23.9001 -22.2786 68.3687
50 24.0001 -22.4018 68.4199
50 24.1001 -22.5251 68.4882
50 24.2001 -22.6483 68.573
50 24.3001 -22.7715 68.6741
50 24.4001 -22.8948 68.7916
50 24.5001 -23.018 68.9255
50 24.6001 -23.1413 69.0761
50 24.7001 -23.2645 69.2433
50 24.8001 -23.3878 69.4269
50 24.9001 -23.511 69.6262
50 25.0001 -23.6343 69.8404
50 25.1001 -23.7575 70.0686
50 25.2001 -23.8808 70.3094
50 25.3001 -24.004 70.5611
50 25.4001 -24.1273 70.8208
50 25.5001 -24.2505 71.0843
50 25.6001 -24.3738 71.3453
50 25.7001 -24.497 71.5956
50 25.8001 -24.6203 71.8249
50 25.9001 -24.7435 72.0221
50 26.0001 -24.8668 72.1759
50 26.1001 -24.99 72.2768
50 26.2001 -25.1133 72.3179
50 26.3001 -25.2365 72.2964
50 26.4001 -25.3598 72.2139
50 26.5001 -25.483 72.0758
50 26.6001 -25.6063 71.8911
50 26.7001 -25.7295 71.6707
50 26.8001 -25.8528 71.4259
50 26.9001 -25.976 71.1673
50 27.0001 -26.0993 70.9038
50 27.1001 -26.2225 70.6423
50 27.2001 -26.3458 70.3878
50 27.3001 -26.469 70.1433
50 27.4001 -26.5923 69.9109
50 27.5001 -26.7155 69.6922
50 27.6001 -26.8388 69.4881
50 27.7001 -26.962 69.2995
50 27.8001 -27.0853 69.1271
50 27.9001 -27.2085 68.9712
50 28.0001 -27.3318 68.8321
50 28.1001 -27.455 68.7094
50 28.2001 -27.5783 68.6031
50 28.3001 -27.7015 68.5132
50 28.4001 -27.8248 68.4396
50 28.5001 -27.948 68.3829
50 28.6001 -28.0713 68.3437
50 28.7001 -28.1945 68.3226
50 28.8001 -28.3178 68.3198
50 28.9001 -28.441 68.3356
50 29.0001 -28.5643 68.3695
50 29.1001 -28.6875 68.4211
50 29.2001 -28.8108 68.4898
50 29.3001 -28.934 68.5749
50 29.4001 -29.0573 68.6764
50 29.5001 -29.1805 68.7942
50 29.6001 -29.3038 68.9285
50 29.7001 -29.427 69.0794
50 29.8001 -29.5503 69.247
50 29.9001 -29.6735 69.4308
50 30.0001 -29.7968 69.6305
50 30.1001 -29.92 69.845
50 30.2001 -30.0433 70.0734
50 30.3001 -30.1665 70.3145
50 30.4001 -30.2898 70.5664
50 30.5001 -30.413 70.8262
50 30.6001 -30.5363 71.0897
50 30.7001 -30.6595 71.3506
50 30.8001 -30.7828 71.6006
50 30.9001 -30.906 71.8294
50 31.0001 -31.0293 72.0257
50 31.1001 -31.1525 72.1786
50 31.2001 -31.2758 72.2783
50 31.3001 -31.399 72.3181
50 31.4001 -31.5223 72.2953
50 31.5001 -31.6455 72.2115
50 31.6001 -31.7688 72.0724
50 31.7001 -31.892 71.8869
50 31.8001 -32.0153 71.6658
50 31.9001 -32.1385 71.4206
50 32.0001 -32.2618 71.1618
50 32.1001 -32.385 70.8983
50 32.2001 -32.5083 70.637
50 32.3001 -32.6315 70.3826
50 32.4001 -32.7548 70.1384
50 32.5001 -32.878 69.9063
50 32.6001 -33.0013 69.6878
50 32.7001 -33.1245 69.4841
50 32.8001 -33.2478 69.2958
50 32.9001 -33.371 69.1237
50 33.0001 -33.4943 68.9682
50 33.1001 -33.6175 68.8294
50 33.2001 -33.7407 68.7071
50 33.3001 -33.864 68.6012
50 33.4001 -33.9872 68.5115
50 33.5001 -34.1105 68.4383
50 33.6001 -34.2337 68.382
50 33.7001 -34.357 68.3431
50 33.8001 -34.4802 68.3223
50 33.9001 -34.6035 68.32
50 34.0001 -34.7267 68.3361
50 34.1001 -34.85 68.3704
50 34.2001 -34.9732 68.4224
50 34.3 -35.0965 68.4913
50 34.4 -35.2197 68.5768
50 34.5 -35.343 68.6786
50 34.6 -35.4662 68.7967
50 34.7 -35.5895 68.9314
50 34.8 -35.7127 69.0826
50 34.9 -35.836 69.2505
50 35 -35.9592 69.4347
50 35.1 -36.0825 69.6346
50 35.2 -36.2057 69.8494
50 35.3 -36.3289 70.0782
50 35.4 -36.4522 70.3195
50 35.5 -36.5754 70.5715
50 35.6 -36.6987 70.8315
50 35.7 -36.8219 71.095
50 35.8 -36.9452 71.3558
50 35.9 -37.0684 71.6054
50 36 -37.1917 71.8336
50 36.1 -37.3149 72.0292
50 36.2 -37.4382 72.1811
50 36.3 -37.5614 72.2796
50 36.4 -37.6847 72.3183
50 36.5 -37.8079 72.2942
50 36.6 -37.9312 72.2093
50 36.7 -38.0544 72.0692
50 36.8 -38.1777 71.8828
50 36.9 -38.3009 71.6612
50 37 -38.4242 71.4156
50 37.1 -38.5474 71.1566
50 37.2 -38.6706 70.8931
50 37.3 -38.7939 70.6319
50 37.4 -38.9171 70.3777
50 37.5 -39.0404 70.1337
